1;Vereinigte Arabische Emirate;1;0.01;Dirham;AED;1;0;1
2;Albanien;1;0.01;Lek;ALL;1;0;1
3;Niederlndische Antillen;1;0.01;Gulden;ANG;1;0;1
4;Angola;1;0.01;Kwanza;AOA;1;0;1
5;Argentinien;1;0.01;Peso;ARS;1;0;1
6;Österreich (bis 2001 ab 2002 Euro);1;0.01;Schilling;ATS;1;0;1
7;Australien;1;0.01;Dollar;AUD;0.9467;0;1
8;Aruba;1;0.01;Aruba-Florin;AWG;1;0;1
9;Barbados;1;0.01;Dollar;BBD;1;0;1
10;Belgien (bis 2001 ab 2002 Euro);1;0.01;Franc;BEF;1;0;1
11;Bulgarien;1;0.01;alter Lew;BGL;1;0;1
12;Bulgarien;1;0.01;neuer Lew;BGN;1;0;1
13;Bahrein;1;0.01;Dinar;BHD;1;0;1
14;Bermuda;1;0.01;Dollar;BMD;1;0;1
15;Brunei;1;0.01;Dollar;BND;1;0;1
16;Bolivien;1;0.01;Boliviano;BOB;1;0;1
17;Brasilien;1;0.01;Real;BRL;1;0;1
18;Bahamas;1;0.01;Dollar;BSD;1;0;1
19;Weissrussland;1;0.01;Rubel;BYR;1;0;1
20;Belize;1;0.01;Dollar;BZD;1;0;1
21;Kanada;1;0.01;Dollar;CAD;0.9496;0;1
22;Schweiz;1;0.05;Franken;CHF;1;0;1
23;Chile;1;0.01;Peso;CLP;1;0;1
24;Kolumbien;1;0.01;Peso;COP;1;0;1
25;Costa Rica;1;0.01;Colon;CRC;1;0;1
26;Tschechien;1;0.01;Krone;CSK;1;0;1
27;Kuba;1;0.01;Peso;CUP;1;0;1
28;Zypern (griechischer Teil);1;0.01;Pfund;CYP;1;0;1
29;Deutschland (bis 2001 ab 2002 Euro);1;0.01;Mark;DEM;1;0;1
30;Dänemark;1;0.01;Krone;DKK;0.2028;0;1
31;Dominikanische Republik;1;0.01;Peso;DOP;1;0;1
32;Algerien;1;0.01;Dinar;DZD;1;0;1
33;Ecuador;1;0.01;Sucre;ECS;1;0;1
34;Estland;1;0.01;Krone;EEK;1;0;1
35;Ägypten;1;0.01;Pfund;EGP;1;0;1
36;Spanien (bis 2001 ab 2002 Euro);1;0.01;Peseta;ESP;1;0;1
37;Grossteil der EU;1;0.05;Euro;EUR;1.4;0;1
38;Frer;1;0.01;Kronur;FIK;1;0;1
39;Finnland (bis 2001 ab 2002 Euro);1;0.01;Markka;FIM;1;0;1
40;Fidschi Inseln;1;0.01;Dollar;FJD;1;0;1
41;Frankreich (bis 2001 ab 2002 Euro);1;0.01;Franc;FRF;1;0;1
42;Vereinigtes Königreich;1;0.01;Pfund;GBP;2.3327;0;1
43;Georgien;1;0.01;Lari;GEL;1;0;1
44;Ghana;1;0.01;Cedi;GHC;1;0;1
45;Gibraltar;1;0.01;Pfund;GIP;1;0;1
46;Gambia;1;0.01;Dalasi;GMD;1;0;1
47;Guinea;1;0.01;Franc;GNF;1;0;1
48;Griechenland (bis 2001 ab 2002 Euro);1;0.01;Drachmen;GRD;1;0;1
49;Guatemala;1;0.01;Quetzal;GTQ;1;0;1
50;Hongkong;1;0.01;Dollar;HKD;1;0;1
51;Kroatien;1;0.01;Kuna;HRK;1;0;1
52;Haiti;1;0.01;Gourde;HTG;1;0;1
53;Ungarn;1;0.01;Forint;HUF;1;0;1
54;Indonesien;1;0.01;Rupiah;IDR;1;0;1
55;Republik Irland (bis 2001 ab 2002 Euro);1;0.01;Pfund;IEP;1;0;1
56;Israel;1;0.01;Schekel;ILS;1;0;1
57;Indien;1;0.01;Rupie;INR;1;0;1
58;Irak;1;0.01;Dinar;IQD;1;0;1
59;Iran;1;0.01;Rial;IRR;1;0;1
60;Island;1;0.01;Krone;ISK;1;0;1
61;Italien (bis 2001 ab 2002 Euro);1;0.01;Lira;ITL;1;0;1
62;Jamaika;1;0.01;Dollar;JMD;1;0;1
63;Jordanien;1;0.01;Dinar;JOD;1;0;1
64;Japan;1;0.01;Yen;JPY;0.0119;0;1
65;Kenia;1;0.01;Schilling;KES;1;0;1
66;Südkorea;1;0.01;Won;KRW;1;0;1
67;Kuwait;1;0.01;Dinar;KWD;1;0;1
68;Kayman-Inseln;1;0.01;Dollar;KYD;1;0;1
69;Libanon;1;0.01;Pfund;LBP;1;0;1
70;Sri Lanka;1;0.01;Rupie;LKR;1;0;1
71;Luxemburg (bis 2001 ab 2002 Euro);1;0.01;Franc;LUF;1;0;1
72;Lettland;1;0.01;Lats;LVL;1;0;1
73;Libyen;1;0.01;Dinar;LYD;1;0;1
74;Marokko;1;0.01;Dirham;MAD;1;0;1
75;Madagaskar;1;0.01;Franc;MGF;1;0;1
76;Malta;1;0.01;Lira;MTL;1;0;1
77;Mauritius;1;0.01;Rupie;MUR;1;0;1
78;Malediven;1;0.01;Rufiyaa;MVR;1;0;1
79;Mexiko;1;0.01;New Peso;MXN;1;0;1
80;Malaysia;1;0.01;Ringgit;MYR;1;0;1
81;Namibia;1;0.01;Dollar;NAD;1;0;1
82;Nigeria;1;0.01;Naira;NGN;1;0;1
83;Niederlande (bis 2001 ab 2002 Euro);1;0.01;Gulden;NLG;1;0;1
84;Norwegen;1;0.01;Krone;NOK;0.1841;0;1
85;Nepal;1;0.01;Rupie;NPR;1;0;1
86;Neuseeland;1;0.01;Dollar;NZD;0.8286;0;1
87;Oman;1;0.01;Rial;OMR;1;0;1
88;Peru;1;0.01;Nuovo Sol;PEN;1;0;1
89;Papua-Neuguinea;1;0.01;Kina;PGK;1;0;1
90;Philippinen;1;0.01;Peso;PHP;1;0;1
91;Pakistan;1;0.01;Rupie;PKR;1;0;1
92;Polen;1;0.01;neue Zloty;PLN;1;0;1
93;Portugal (bis 2001 ab 2002 Euro);1;0.01;Escudo;PTE;1;0;1
94;Paraguay;1;0.01;Guarani;PYG;1;0;1
95;Katar;1;0.01;Riyal;QAR;1;0;1
96;Rumänien;1;0.01;Lei;ROL;1;0;1
97;Russland;1;0.01;Rubel;RUR;1;0;1
98;Saudi-Arabien;1;0.01;Riyal;SAR;1;0;1
99;Seychellen;1;0.01;Rupie;SCR;1;0;1
100;Sudan;1;0.01;Pfund;SDP;1;0;1
101;Schweden;1;0.01;Krone;SEK;0.1678;0;1
102;Singapur;1;0.01;Dollar;SGD;1;0;1
103;Slowenien;1;0.01;Talar;SIT;1;0;1
104;Slowakei;1;0.01;Krone;SKK;1;0;1
105;Sierra Leone;1;0.01;Leone;SLL;1;0;1
106;Surinam;1;0.01;Gulden;SRG;1;0;1
107;El Salvador;1;0.01;Colon;SVC;1;0;1
108;Syrien;1;0.01;Pfund;SYP;1;0;1
109;Thailand;1;0.01;Bath;THB;1;0;1
110;Tunesien;1;0.01;Dinar;TMD;1;0;1
111;Türkei;1;0.01;Lira;TRL;1;0;1
112;Trinidad und Tobago;1;0.01;Dollar;TTD;1;0;1
113;Taiwan;1;0.01;Dollar;TWD;1;0;1
114;Tansania;1;0.01;Schilling;TZS;1;0;1
115;Ukraine;1;0.01;Griwna;UAH;1;0;1
116;USA;1;0.01;Dollar;USD;1.2683;0;1
117;Uruguay;1;0.01;Peso;UYP;1;0;1
118;Venezuela;1;0.01;Bolivar;VEB;1;0;1
119;Vietnam;1;0.01;Dong;VND;1;0;1
120;Serbien;1;0.01;Dinar;YUN;1;0;1
121;Äquatorial-Afrika;1;0.01;Franc;XAF;1;0;1
122;Westindien;1;0.01;Dollar;XCD;1;0;1
123;Westafrika;1;0.01;Franc;XOF;1;0;1
124;Neukaledonien;1;0.01;CPF-Franc;XPF;1;0;1
125;Südafrika;1;0.01;Rand;ZAR;0.1915;0;1
126;Zaire;1;0.01;Zaire;ZRN;1;0;1
127;Simbabwe;1;0.01;Dollar;ZWD;1;0;1
128;China (Volksrepublik);1;0.01;Renminbi Yuan;CNY;1;0;1
